servername,ip,env,severity
arrival.prd.ws.mgh.reuter365.net,10.10.59.146,prd,
dhparams-service.prd.reuter365.net,10.10.59.130,prd,
dashy.prd.collab.mgh.reuter365.net,10.10.59.248 192.168.129.1 192.168.128.1 192.168.123.5,prd,
mariadb-sb-01.prd.db.mgh.reuter365.net,10.10.210.106,prd,
mariadb-sb-02.prd.db.mgh.reuter365.net,10.10.210.107,prd,
mariadb-t3-01.prd.db.mgh.reuter365.net,10.10.210.108,prd,
mariadb-t3-02.prd.db.mgh.reuter365.net,10.10.210.109,prd,
dmz-ext-ds.emoto2.local,10.10.200.11,,
dwh-solr-s-01.emoto2.local,10.10.59.154,,
eapp.dev.dmz.reuter365.net,10.10.200.53,dev,
catalogues.prd.ws.acs.reuter365.net,10.51.30.92,prd,
eapp-test.dev.ws.mgh.reuter365.net,10.10.59.107,dev,
ext-ftp-01.prd.misc.mgh.reuter365.net,10.10.213.1,prd,
grafana.stg.mon.mgh.reuter365.net,10.10.59.120,stg,
idoit.prd.collab.mgh.reuter365.net,10.10.59.218,prd,
media-01.prd.ws.acs.reuter365.net,10.51.30.84,prd,
shopupdateservice.emoto2.local,10.10.59.116,,
silence-manager.prd.mon.mgh.reuter365.net,10.10.59.187 192.168.135.1 192.168.123.5,prd,
spambox-01.badhandel.local,10.10.59.147,,
ws-sorry.rz.emoto2.local,10.51.30.240,,
gitlab.reuter365.net,10.10.59.178,,
gitlab-runner-01.reuter365.net,10.10.215.1 192.168.123.5,,
gitlab-runner-02.reuter365.net,10.10.215.2 192.168.123.5,,
gitlab-runner-04.reuter365.net,10.10.215.4 192.168.123.5,,
gitlab-runner-03.reuter365.net,10.10.215.3 192.168.123.5,,
gitlab-runner-05.reuter365.net,10.10.215.5 192.168.123.5,,
gitlab-runner-06.reuter365.net,10.10.215.6 192.168.123.5,,
gitlab-runner-07.reuter365.net,10.10.215.7 192.168.123.5,,
gitlab-runner-08.reuter365.net,10.10.215.8 172.17.0.1,,
gitlab-runner-09.reuter365.net,10.10.215.9 172.17.0.1,,
pe-product-returns.stg.pe.mgh.reuter365.net,10.10.59.237,stg,
pe-product-returns.prd.pe.mgh.reuter365.net,10.10.59.238,prd,
search-ner.prd.ws.acs.reuter365.net,10.51.30.86,prd,
search-ner.stg.ws.mgh.reuter365.net,10.10.59.243,stg,
pe-product-references.stg.pe.mgh.reuter365.net,10.10.59.224,stg,
pe-product-references.prd.pe.mgh.reuter365.net,10.10.59.225,prd,
gitlab-runner-10.reuter365.net,10.10.215.10 172.17.0.1,,
cf-sync.prd.misc.mgh.reuter365.net,10.10.211.5,prd,
bitwarden.prd.collab.mgh.reuter365.net,10.10.211.1 192.168.128.1 192.168.129.1 192.168.123.5,prd,
confluence.prd.collab.mgh.reuter365.net,10.10.59.212,prd,
confluence.stg.collab.mgh.reuter365.net,10.10.59.211,stg,
emero-01.rz.emoto2.local,10.51.30.132,,
emero-02.rz.emoto2.local,10.51.30.133,,
pe-online-update.stg.pe.mgh.reuter365.net,10.10.59.142,stg,
pe-online-update.prd.pe.mgh.reuter365.net,10.10.59.141,prd,
emero-04.rz.emoto2.local,10.51.30.135,,
emero-03.rz.emoto2.local,10.51.30.134,,
repro-01.rz.emoto2.local,10.51.30.52,,
reuter-01.rz.emoto2.local,10.51.30.120,,
